                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.54918,                0.43109,                  1.017,                0.94728,                0.92785,                 0.9637,                0.89037,                0.45638,                0.38442,                0.97395,                0.00307,                0.00307,                0.00307
                    143,                0.55077,                  0.432,                 1.0169,                0.94631,                 0.9313,                0.97185,                0.89674,                0.45405,                0.36105,                0.96052,              0.0030205,              0.0030205,              0.0030205
                    144,                0.53239,                0.42537,                 1.0021,                0.94354,                0.93066,                0.96956,                0.89606,                0.44562,                0.36942,                0.95129,               0.002971,               0.002971,               0.002971
                    145,                 0.5223,                0.40882,                0.99407,                0.94557,                 0.9185,                0.96106,                 0.8885,                0.44921,                 0.4187,                0.95737,              0.0029215,              0.0029215,              0.0029215
                    146,                0.54962,                0.42073,                 1.0081,                0.94519,                0.92169,                0.96273,                0.88322,                0.46343,                0.39221,                0.96879,               0.002872,               0.002872,               0.002872
                    147,                0.53542,                 0.4176,                 1.0041,                  0.933,                0.92563,                0.96003,                0.88426,                0.45978,                0.40494,                0.96946,              0.0028225,              0.0028225,              0.0028225
                    148,                0.54659,                0.42806,                 1.0089,                0.93639,                  0.919,                0.96706,                0.88827,                 0.4553,                0.40588,                0.96479,               0.002773,               0.002773,               0.002773
                    149,                0.55007,                 0.4249,                 1.0191,                0.92111,                0.92283,                0.95801,                0.88711,                0.45228,                0.41066,                0.95869,              0.0027235,              0.0027235,              0.0027235
                    150,                0.53953,                0.41289,                 1.0087,                0.92396,                0.93215,                0.96345,                0.89264,                0.45307,                0.38255,                0.96277,               0.002674,               0.002674,               0.002674
                    151,                0.51756,                0.41059,                0.99445,                0.93291,                0.93374,                0.96215,                0.88668,                0.45135,                0.37594,                0.96043,              0.0026245,              0.0026245,              0.0026245
                    152,                0.53157,                 0.4182,                 1.0043,                0.92933,                0.92212,                0.96203,                0.88609,                0.45357,                0.41825,                0.96037,               0.002575,               0.002575,               0.002575
                    153,                0.52511,                0.40527,                 1.0028,                0.93437,                0.92323,                 0.9575,                0.88636,                0.44876,                0.40205,                0.95411,              0.0025255,              0.0025255,              0.0025255
                    154,                0.53479,                0.41475,                 1.0039,                0.94144,                0.92646,                0.96061,                  0.887,                0.45281,                0.38073,                0.95846,               0.002476,               0.002476,               0.002476
                    155,                0.52362,                0.41175,                0.99916,                0.93228,                0.91966,                0.95266,                0.88241,                0.45177,                0.40586,                0.95807,              0.0024265,              0.0024265,              0.0024265
